ix_id,name,long_name,City,Country,Continent,net,fac,Cloudflare,Meta,Akamai,Microsoft,Netskope,Hurricane,Amazon,Fastly,Google,ACE CDN,TOTAL
171,IX.br (PTT.br) São Paulo,IX.br (PTT.br) São Paulo,São Paulo/SP,BR,South America,1856,31,1800,7200,3100,400,400,300,1600,1800,3000,600,20200
158,Equinix Singapore,Equinix Internet Exchange Singapore,Singapore,SG,Asia Pacific,466,5,1600,800,1500,600,200,1000,1000,3200,400,800,11100
31,DE-CIX Frankfurt,DE-CIX Frankfurt,Frankfurt,DE,Europe,1015,26,1200,800,2000,1200,200,800,1600,1200,600,1000,10600
710,IX.br (PTT.br) Fortaleza,IX.br (PTT.br) Fortaleza,Fortaleza/CE,BR,South America,601,10,400,4800,1400,200,0,200,400,200,0,100,7700
64,NL-ix,Neutral Internet Exchange,"Amsterdam, Rotterdam, Brussels, Luxembourg, Frankfurt, Düsseldorf, Berlin, Dublin, London, Copenhagen, Paris, Marseille",NL,Europe,533,83,1000,800,1700,600,500,400,800,1100,200,300,7400
126,BBIX Tokyo,BroadBand Internet eXchange Tokyo,Tokyo,JP,Asia Pacific,355,16,1000,200,700,400,200,400,1600,1600,400,500,7000
177,IX.br (PTT.br) Rio de Janeiro,IX.br (PTT.br) Rio de Janeiro,Rio de Janeiro/RJ,BR,South America,523,15,600,2000,1300,200,100,200,400,1200,800,200,7000
26,AMS-IX,Amsterdam Internet Exchange,Amsterdam,NL,Europe,861,15,1000,800,700,800,300,400,1200,800,400,100,6500
1668,CIX-ATL,Community IX - Atlanta,Atlanta,US,North America,117,11,200,800,1200,200,200,800,1600,400,200,100,5700
13,SIX Seattle,Seattle Internet Exchange (MTU 1500),Seattle,US,North America,368,15,800,400,800,400,200,800,1400,400,300,100,5600
2,Equinix Chicago,Equinix Internet Exchange Chicago,Chicago,US,North America,254,3,600,400,1100,400,100,1200,900,400,400,0,5500
18,LINX LON1,London Internet Exchange Ltd.,London,GB,Europe,836,18,600,400,1600,600,100,400,800,800,100,100,5500
30,JPIX TOKYO,,Tokyo,JP,Asia Pacific,269,11,600,200,600,200,200,200,800,1600,400,500,5300
592,NAPAfrica IX Johannesburg,NAPAfrica IX Johannesburg,Johannesburg,ZA,Africa,543,1,600,800,1600,400,20,100,800,200,500,100,5120
3,Equinix Dallas,Equinix Internet Exchange Dallas,Dallas,US,North America,205,6,600,400,900,400,100,1100,800,400,200,100,5000
1,Equinix Ashburn,Equinix Internet Exchange Ashburn,Ashburn,US,North America,347,3,400,200,800,400,100,900,1200,600,200,100,4900
1627,Extreme IX Mumbai,ExtremeIX Mumbai,Mumbai,IN,Asia Pacific,254,15,300,800,1600,400,300,0,400,200,900,0,4900
125,Equinix Hong Kong,Equinix Internet Exchange Hong Kong,Hong Kong,HK,Asia Pacific,249,5,600,400,1200,600,100,400,200,200,200,800,4700
954,FL-IX,FL-IX - The Florida Internet Exchange / Community IX - Florida,Miami,US,North America,198,13,200,800,1000,200,200,800,800,400,200,100,4700
429,SGIX,Singapore Internet Exchange,Singapore,SG,Asia Pacific,248,16,400,200,1100,200,10,300,400,400,200,1400,4610
564,JPIX OSAKA,,Osaka,JP,Asia Pacific,111,8,400,200,300,200,200,100,800,1600,200,200,4200
1323,Extreme IX Delhi,ExtremeIX Delhi,Delhi,IN,Asia Pacific,182,13,200,1200,1100,200,200,0,200,200,500,0,3800
42,HKIX,Hong Kong Internet Exchange,Hong Kong,HK,Asia Pacific,259,6,400,400,1200,200,100,200,200,0,200,800,3700
